Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,e(x),e(x)Orig
USA,0,0,0,0,1,427.1,1994,1994,1,1,72.19,72.19
USA,0,0,0,0,1,427.1,1994,1994,1,2,79,79
USA,0,0,0,0,1,427.1,1994,1994,2,1,72.19,72.19
USA,0,0,0,0,1,427.1,1994,1994,2,2,79,79
USA,0,0,0,0,1,427.1,1995,1995,1,1,72.35,72.35
USA,0,0,0,0,1,427.1,1995,1995,1,2,79,79
USA,0,0,0,0,1,427.1,1995,1995,2,1,72.35,72.35
USA,0,0,0,0,1,427.1,1995,1995,2,2,79,79
USA,0,0,0,0,1,427.1,1996,1996,1,1,72.81,72.81
USA,0,0,0,0,1,427.1,1996,1996,1,2,79.12,79.12
USA,0,0,0,0,1,427.1,1996,1996,2,1,72.81,72.81
USA,0,0,0,0,1,427.1,1996,1996,2,2,79.12,79.12
USA,0,0,0,0,1,427.1,1997,1997,1,1,73.27,73.27
USA,0,0,0,0,1,427.1,1997,1997,1,2,79.26,79.26
USA,0,0,0,0,1,427.1,1997,1997,2,1,73.27,73.27
